"University","PMCID","PMID","DOI","Publisher","Journal title","ISSN","Article title","Publication Date","Electronic Publication Date","Total cost of Article Processing Charge (APC), in £","Amount of APC charged to Wellcome OA grant, in £ (see comment)","VAT charged","COST (£)","Wellcome grant","Notes","Fulltext in EPMC?","XML Fulltext?","Author Manuscript?","Ahead of Print?","Open Access?","Licence","Licence source","Journal Type","Correct Article Confidence","Standard Compliance?","Deluxe Compliance?","Grant 1","Agency 1","PI 1","Grant 2","Agency 2","PI 2","Grant 3","Agency 3","PI 3","Grant 4","Agency 4","PI 4","Grant 5","Agency 5","PI 5","Grant 6","Agency 6","PI 6","Grant 7","Agency 7","PI 7","Grant 8","Agency 8","PI 8","Grant 9","Agency 9","PI 9","Grant 10","Agency 10","PI 10","Grant 11","Agency 11","PI 11","Grant 12","Agency 12","PI 12","Grant 13","Agency 13","PI 13","Grant 14","Agency 14","PI 14","Grant 15","Agency 15","PI 15","Grant 16","Agency 16","PI 16","Grant 17","Agency 17","PI 17","Grant 18","Agency 18","PI 18","Grant 19","Agency 19","PI 19","Grant 20","Agency 20","PI 20","Grant 21","Agency 21","PI 21","Grant 22","Agency 22","PI 22","Grant 23","Agency 23","PI 23","Grant 24","Agency 24","PI 24","Grant 25","Agency 25","PI 25","Grant 26","Agency 26","PI 26","Grant 27","Agency 27","PI 27","Grant 28","Agency 28","PI 28","Grant 29","Agency 29","PI 29","Grant 30","Agency 30","PI 30","Grant 31","Agency 31","PI 31","Grant 32","Agency 32","PI 32","Grant 33","Agency 33","PI 33","Grant 34","Agency 34","PI 34","Grant 35","Agency 35","PI 35","Grant 36","Agency 36","PI 36","Grant 37","Agency 37","PI 37","Grant 38","Agency 38","PI 38","Grant 39","Agency 39","PI 39","Grant 40","Agency 40","PI 40","Grant 41","Agency 41","PI 41","Grant 42","Agency 42","PI 42","Grant 43","Agency 43","PI 43","Grant 44","Agency 44","PI 44","Grant 45","Agency 45","PI 45","Grant 46","Agency 46","PI 46","Grant 47","Agency 47","PI 47","Grant 48","Agency 48","PI 48","Grant 49","Agency 49","PI 49","Grant 50","Agency 50","PI 50","Grant 51","Agency 51","PI 51","Grant 52","Agency 52","PI 52","Grant 53","Agency 53","PI 53","Grant 54","Agency 54","PI 54","Grant 55","Agency 55","PI 55","Grant 56","Agency 56","PI 56","Grant 57","Agency 57","PI 57","Grant 58","Agency 58","PI 58","Grant 59","Agency 59","PI 59","Grant 60","Agency 60","PI 60","Grant 61","Agency 61","PI 61","Grant 62","Agency 62","PI 62","Grant 63","Agency 63","PI 63","Grant 64","Agency 64","PI 64","Grant 65","Agency 65","PI 65","Grant 66","Agency 66","PI 66","Grant 67","Agency 67","PI 67","Grant 68","Agency 68","PI 68","Grant 69","Agency 69","PI 69","Grant 70","Agency 70","PI 70","Grant 71","Agency 71","PI 71","Grant 72","Agency 72","PI 72","Grant 73","Agency 73","PI 73","Grant 74","Agency 74","PI 74","Grant 75","Agency 75","PI 75","Grant 76","Agency 76","PI 76","Grant 77","Agency 77","PI 77","Grant 78","Agency 78","PI 78","Grant 79","Agency 79","PI 79","Grant 80","Agency 80","PI 80","Grant 81","Agency 81","PI 81","Grant 82","Agency 82","PI 82","Grant 83","Agency 83","PI 83","Grant 84","Agency 84","PI 84","Grant 85","Agency 85","PI 85","Grant 86","Agency 86","PI 86","Grant 87","Agency 87","PI 87","Grant 88","Agency 88","PI 88","Grant 89","Agency 89","PI 89","Grant 90","Agency 90","PI 90","Grant 91","Agency 91","PI 91","Grant 92","Agency 92","PI 92","Grant 93","Agency 93","PI 93","Grant 94","Agency 94","PI 94","Grant 95","Agency 95","PI 95","Grant 96","Agency 96","PI 96","Grant 97","Agency 97","PI 97","Grant 98","Agency 98","PI 98","Grant 99","Agency 99","PI 99","Grant 100","Agency 100","PI 100","Grant 101","Agency 101","PI 101","Grant 102","Agency 102","PI 102","Grant 103","Agency 103","PI 103","Grant 104","Agency 104","PI 104","Compliance Processing Output"
"","PMC3671369","23750175","10.1057/biosoc.2013.3","Nature Publishing Group","BioSocieties","1745-8552, 1745-8560","Health Economists, Tobacco Control and International Development: On the Economisation of Global Health beyond Neoliberal Structural Adjustment Policies","2013 Jun","Unavailable","","","","","","","TRUE","TRUE","FALSE","not applicable","TRUE","cc by","epmc_rest_api","hybrid",1,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Added PMCID from EUPMC
Added PMID from EUPMC
Added DOI from EUPMC
Confirmed is in EUPMC
Confirmed is open access from EUPMC
Added journal title from EUPMC
Added eissn from EUPMC
Added issn from EUPMC
Added date of publication from EUPMC
Confirmed fulltext XML is available from EUPMC
Added licence from epmc_rest_api
Added author list from EUPMC
Checked author manuscript status in EUPMC, found no evidence of being one
Added publisher name from Crossref
Could not find DOI in CORE
Could not find journal in DOAJ
Added embargo and archiving data from Sherpa Romeo"
"","PMC3724273","23908565","10.1177/0952695112468526","SAGE Publications","History of the human sciences","0952-6951, 1461-720X","The pursuit of happiness: the social and scientific origins of Hans Selye’s natural philosophy of life’","2012 Dec","Unavailable","","","","","","","TRUE","TRUE","FALSE","not applicable","TRUE","cc by-nc","epmc_rest_api","hybrid",1,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Added PMCID from EUPMC
Added PMID from EUPMC
Confirmed is in EUPMC
Confirmed is open access from EUPMC
Added journal title from EUPMC
Added eissn from EUPMC
Added issn from EUPMC
Added date of publication from EUPMC
Confirmed fulltext XML is available from EUPMC
Added licence from epmc_rest_api
Added author list from EUPMC
Checked author manuscript status in EUPMC, found no evidence of being one
Added publisher name from Crossref
Found DOI in CORE
Added repositories that CORE claims article is available from
Could not find journal in DOAJ
Added embargo and archiving data from Sherpa Romeo"
"","PMC3627513","23626409","10.1177/0952695112470350","SAGE Publications","History of the human sciences","0952-6951, 1461-720X","War on fear: Solly Zuckerman and civilian nerve in World War II","2012 Dec","Unavailable","","","","","","","TRUE","TRUE","FALSE","not applicable","TRUE","cc by","epmc_rest_api","hybrid",1,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Added PMCID from EUPMC
Added PMID from EUPMC
Confirmed is in EUPMC
Confirmed is open access from EUPMC
Added journal title from EUPMC
Added eissn from EUPMC
Added issn from EUPMC
Added date of publication from EUPMC
Confirmed fulltext XML is available from EUPMC
Added licence from epmc_rest_api
Added author list from EUPMC
Checked author manuscript status in EUPMC, found no evidence of being one
Added publisher name from Crossref
Could not find DOI in CORE
Could not find journal in DOAJ
Added embargo and archiving data from Sherpa Romeo"
"","PMC4255272","23430656","10.1126/science.1228160","American Association for the Advancement of Science (AAAS)","Science (New York, N.Y.)","0036-8075, 1095-9203","High coverage of ART associated with decline in risk of HIV acquisition in rural KwaZulu-Natal, South Africa","2013 Feb","Unavailable","","","","","","","TRUE","FALSE","TRUE","not applicable","FALSE","unknown","unknown","hybrid",1,"TRUE","TRUE","097410","Wellcome Trust","Professor Marie Newell","082384/Z/07/Z","Wellcome Trust","Professor Marie Newell","R01 HD058482","NICHD NIH HHS","unknown","1R01-HD058482-01","NICHD NIH HHS","unknown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Added PMCID from EUPMC
Added PMID from EUPMC
Confirmed is in EUPMC
Added journal title from EUPMC
Added eissn from EUPMC
Added issn from EUPMC
Added grants data from EUPMC
Added date of publication from EUPMC
Added author list from EUPMC
Checked author manuscript status in EUPMC, returned Y_IN_EPMC_SPLASHPAGE
Added publisher name from Crossref
Found DOI in CORE
Added repositories that CORE claims article is available from
Found Grant PI for 082384 via Grist API
Found Grant PI for 097410 via Grist API
Could not find journal in DOAJ
Added embargo and archiving data from Sherpa Romeo"
"","PMC3860268","23430655","10.1126/science.1230413","American Association for the Advancement of Science (AAAS)","Science (New York, N.Y.)","0036-8075, 1095-9203","Increase in adult life expectancy","2013 Feb","Unavailable","","","","","","","TRUE","FALSE","TRUE","not applicable","FALSE","unknown","unknown","hybrid",1,"TRUE","TRUE","unknown","Wellcome Trust","unknown","097410","Wellcome Trust","Professor Marie Newell","1R01MH083539-01","NIMH NIH HHS","unknown","R01 MH083539","NIMH NIH HHS","unknown","R01 HD058482-01","NICHD NIH HHS","unknown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Added PMCID from EUPMC
Added PMID from EUPMC
Confirmed is in EUPMC
Added journal title from EUPMC
Added eissn from EUPMC
Added issn from EUPMC
Added grants data from EUPMC
Added date of publication from EUPMC
Added author list from EUPMC
Checked author manuscript status in EUPMC, returned Y_IN_EPMC_SPLASHPAGE
Added publisher name from Crossref
Found DOI in CORE
Added repositories that CORE claims article is available from
Found Grant PI for 097410 via Grist API
Tried but failed to find Grant PI via Grist API
Could not find journal in DOAJ
Added embargo and archiving data from Sherpa Romeo"
"","PMC3672848","23319734","10.4049/jimmunol.1201510","The American Association of Immunologists","Journal of immunology (Baltimore, Md. : 1950)","0022-1767, 1550-6606","Mitochondrial superoxide generation enhances P2X7R-mediated loss of cell surface CD62L on naive human CD4+ T lymphocytes.","2013 Feb","2013-01-14","","","","","","","TRUE","FALSE","TRUE","not applicable","FALSE","unknown","unknown","hybrid",1,"TRUE","TRUE","077454","Wellcome Trust","Professor Stephen Ward","unknown","Biotechnology and Biological Sciences Research Council","unknown","1220724","Medical Research Council","unknown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Added PMCID from EUPMC
Added PMID from EUPMC
Confirmed is in EUPMC
Added journal title from EUPMC
Added eissn from EUPMC
Added issn from EUPMC
Added grants data from EUPMC
Added date of publication from EUPMC
Added electronic publication date from EUPMC
Added author list from EUPMC
Checked author manuscript status in EUPMC, returned Y_IN_EPMC_API
Added publisher name from Crossref
Found DOI in CORE
Added repositories that CORE claims article is available from
Found Grant PI for 077454 via Grist API
Tried but failed to find Grant PI via Grist API
Could not find journal in DOAJ
Added embargo and archiving data from Sherpa Romeo"
"","PMC3549224","23264654","10.4049/jimmunol.1202438","The American Association of Immunologists","Journal of immunology (Baltimore, Md. : 1950)","0022-1767, 1550-6606","Chronic Exposure to Plasmodium falciparum Is Associated with Phenotypic Evidence of B and T Cell Exhaustion","2013 Feb","2012-12-21","","","","","","","TRUE","FALSE","FALSE","not applicable","FALSE","unknown","unknown","hybrid",1,"FALSE","FALSE","B9RTIR0","Wellcome Trust","unknown","092654","Wellcome Trust","Professor Kevin Marsh","Z99 AI999999","Intramural NIH HHS","unknown","G1002624","Medical Research Council","Prof Philip Bejon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Added PMCID from EUPMC
Added PMID from EUPMC
Confirmed is in EUPMC
Added journal title from EUPMC
Added eissn from EUPMC
Added issn from EUPMC
Added grants data from EUPMC
Added date of publication from EUPMC
Added electronic publication date from EUPMC
Added author list from EUPMC
Checked author manuscript status in EUPMC, found no evidence of being one
Added publisher name from Crossref
Found DOI in CORE
Added repositories that CORE claims article is available from
Found Grant PI for 092654 via Grist API
Found Grant PI for G1002624 via Grist API
Could not find journal in DOAJ
Added embargo and archiving data from Sherpa Romeo"
"","PMC3619528","23475217","10.4049/jimmunol.1202611","The American Association of Immunologists","Journal of immunology (Baltimore, Md. : 1950)","0022-1767, 1550-6606","Candida albicans primes the Toll-like receptor cytokine responses through a dectin-1/Ref-1-mediated pathway","2013 Apr","2013-03-08","","","","","","","TRUE","FALSE","FALSE","not applicable","FALSE","unknown","unknown","hybrid",1,"FALSE","FALSE","unknown","Wellcome Trust","unknown","GM53522","NIGMS NIH HHS","unknown","R01 GM053522","NIGMS NIH HHS","unknown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Added PMCID from EUPMC
Added PMID from EUPMC
Confirmed is in EUPMC
Added journal title from EUPMC
Added eissn from EUPMC
Added issn from EUPMC
Added grants data from EUPMC
Added date of publication from EUPMC
Added electronic publication date from EUPMC
Added author list from EUPMC
Checked author manuscript status in EUPMC, found no evidence of being one
Added publisher name from Crossref
Could not find DOI in CORE
Tried but failed to find Grant PI via Grist API
Could not find journal in DOAJ
Added embargo and archiving data from Sherpa Romeo"
"","PMC3607403","23460737","10.4049/jimmunol.1203389","The American Association of Immunologists","Journal of immunology (Baltimore, Md. : 1950)","0022-1767, 1550-6606","GRB2-Mediated Recruitment of THEMIS to LAT Is Essential for Thymocyte Development","2013 Apr","2013-03-04","","","","","","","TRUE","FALSE","FALSE","not applicable","FALSE","unknown","unknown","hybrid",1,"FALSE","FALSE","094296","Wellcome Trust","Prof Oreste Acuto","076558","Wellcome Trust","Prof Oreste Acuto","AI073870","NIAID NIH HHS","unknown","GM065230","NIGMS NIH HHS","unknown","T32 AI007244","NIAID NIH HHS","unknown","M215","Rosetrees Trust","unknown","R01 GM065230","NIGMS NIH HHS","unknown","R56 AI073870","NIAID NIH HHS","unknown","GR076558MA","Medical Research Council","unknown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Added PMCID from EUPMC
Added PMID from EUPMC
Confirmed is in EUPMC
Added journal title from EUPMC
Added eissn from EUPMC
Added issn from EUPMC
Added grants data from EUPMC
Added date of publication from EUPMC
Added electronic publication date from EUPMC
Added author list from EUPMC
Checked author manuscript status in EUPMC, found no evidence of being one
Added publisher name from Crossref
Found DOI in CORE
Added repositories that CORE claims article is available from
Found Grant PI for 076558 via Grist API
Found Grant PI for 094296 via Grist API
Could not find journal in DOAJ
Added embargo and archiving data from Sherpa Romeo"
"","PMC3627511","23626408","10.1177/0952695112471658","SAGE Publications","History of the human sciences","0952-6951, 1461-720X","The invention of the psychosocial: an introduction","2012 Dec","Unavailable","","","","","","","TRUE","TRUE","FALSE","not applicable","TRUE","cc by","epmc_rest_api","hybrid",1,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Added PMCID from EUPMC
Added PMID from EUPMC
Confirmed is in EUPMC
Confirmed is open access from EUPMC
Added journal title from EUPMC
Added eissn from EUPMC
Added issn from EUPMC
Added date of publication from EUPMC
Confirmed fulltext XML is available from EUPMC
Added licence from epmc_rest_api
Added author list from EUPMC
Checked author manuscript status in EUPMC, found no evidence of being one
Added publisher name from Crossref
Found DOI in CORE
Added repositories that CORE claims article is available from
Could not find journal in DOAJ
Added embargo and archiving data from Sherpa Romeo"
