Row #,apc_2012_2013_results.csv PMCID,processed_apc_2012_2013.csv PMCID,apc_2012_2013.csv PMCID,apc_2012_2013.csv PMID,apc_2012_2013.csv DOI,apc_2012_2013.csv Article title
14,,PMC4538784,not available,,10.1177/0265691413479085,Images and Meaning - Making in a World of Resemblance: The Bavarian-Saxon Kidney Stone Affair of 1580.
24,,PMC4541552,none,,10.1017/S0001972013000442,"Stuck in ruins, or up and coming?"
25,,PMC4541553,none,,10.1017/S0001972013000454,"Pharmacy, money and public health in Dakar."

Row #,apc_2012_2013_results.csv PMID,processed_apc_2012_2013.csv PMID,apc_2012_2013.csv PMCID,apc_2012_2013.csv PMID,apc_2012_2013.csv DOI,apc_2012_2013.csv Article title
14,unknown,26290618,not available,,10.1177/0265691413479085,Images and Meaning - Making in a World of Resemblance: The Bavarian-Saxon Kidney Stone Affair of 1580.
24,unknown,26321761,none,,10.1017/S0001972013000442,"Stuck in ruins, or up and coming?"
25,unknown,26321762,none,,10.1017/S0001972013000454,"Pharmacy, money and public health in Dakar."
26,unknown,,none,,10.1017/S0001972013000478,Tarmacking in the milleninum city: spatial and temporal tralectories of empowerment in Kenya.
28,,24941737,none,none,10.1017/S0007087413000332,"Writing, printing, speaking: Rhesus blood-group genetics and nomenclatures in the mid-twentieth century"
201,24524173,23409763,,,,The Therapeutic Potential of Allosteric Ligands for Free Fatty Acid Sensitive GPCRs
202,24524172,24524173,none,24524173,none,Parasite lost - remembering modern times with Kenyan government medical scientists.
1854,,23873369,none,23873369,10.1387/ijdb.130046jw,The Dictyostelium prestalk inducer DIF-1 directs phosphorylation of a bZIP transcription factor.

Row #,apc_2012_2013_results.csv DOI,processed_apc_2012_2013.csv DOI,apc_2012_2013.csv PMCID,apc_2012_2013.csv PMID,apc_2012_2013.csv DOI,apc_2012_2013.csv Article title
2,10.1057/biosoc.2013.3,10.1057/9781137377029,PMC3671369,,10.1057/9781137377029,"Health Economists, Tobacco Control and International Development: On the Economisation of Global Health beyond Neoliberal Structural Adjustment Policies"
