Row #,apc_2012_2013_results.csv PMCID,processed_apc_2012_2013.csv PMCID,apc_2012_2013_results.csv PMID,processed_apc_2012_2013.csv PMID,apc_2012_2013_results.csv DOI,processed_apc_2012_2013.csv DOI,apc_2012_2013_results.csv Article title,processed_apc_2012_2013.csv Article title
52,unknown,,unknown,,unknown,,Correlation of automated IMT and BMI in an image database from India on a very low resolution carotid ultrasound.,Correlation of automated IMT and BMI in an image database from India on a very low resolution carotid ultrasound.
119,PMC3566929,PMC3688188,23327189,23648487,10.1186/1476-072x-12-2,10.1016/j.gene.2013.04.050,Comparing the accuracy of two secondary food environment data sources in the UK across socio-economic and urban/rural divides,Identification of multiple binding sites for the THAP domain of the Galileo transposase in the long terminal inverted-repeats
120,PMC3610976,PMC3566929,23362266,23327189,10.1074/jbc.m112.405456,10.1186/1476-072X-12-2,"Estrogen receptor á mediates proliferation of osteoblastic cells stimulated by estrogen and mechanical strain, but their acute down regulation of the Wnt antagonist Sost is mediated by Estrogen Receptor â",Comparing the accuracy of two secondary food environment data sources in the UK across socio-economic and urban/rural divides
121,PMC3041663,PMC3610976,21299872,23362266,10.1186/1471-2458-11-86,10.1074/jbc.M112.405456,Cluster randomised trial in the general practice research database: 2. Secondary prevention after first stroke (eCRT STUDY): study protocol for a randomised controlled trial,"Estrogen receptor á mediates proliferation of osteoblastic cells stimulated by estrogen and mechanical strain, but their acute down regulation of the Wnt antagonist Sost is mediated by Estrogen Receptor â"
122,PMC3668259,PMC3041663,23782816,21299872,10.1186/1745-6215-14-132,10.1186/1471-2458-11-86,Community resource centres to improve the health of women and children in Mumbai slums: study protocol for a cluster randomized controlled trial,Cluster randomised trial in the general practice research database: 2. Secondary prevention after first stroke (eCRT STUDY): study protocol for a randomised controlled trial
123,PMC3750830,PMC3668259,23880306,23782816,10.1186/1745-6215-14-230,10.1186/1745-6215-14-132,Evualation of the impact of immediate versus WHO recommendations-guided ART initiation on HIV incidence.,Community resource centres to improve the health of women and children in Mumbai slums: study protocol for a cluster randomized controlled trial
124,PMC3495012,PMC3750830,23114081,23880306,10.1186/1745-6215-13-203,10.1186/1745-6215-14-230,Lovastatin for adult patients with dengue: protocol for a randomised controlled trial.,Evualation of the impact of immediate versus WHO recommendations-guided ART initiation on HIV incidence.
125,PMC3686680,PMC3495012,23758662,23114081,10.1186/1745-6215-14-170,10.1186/1745-6215-13-203,The impact of a novel molecular TB diagnostic system in patients at high risk of TB mortality in rural South Africa.,Lovastatin for adult patients with dengue: protocol for a randomised controlled trial.
126,PMC3637822,PMC3686680,23617306,23758662,10.1186/1471-244x-13-122,10.1186/1745-6215-14-170,"Detecting depression among adolescents in Santiago, Chile: sex differences",The impact of a novel molecular TB diagnostic system in patients at high risk of TB mortality in rural South Africa.
127,PMC3537519,PMC3637822,23216993,23617306,10.1186/1471-244x-12-223,10.1186/1471-244X-13-122,Rates of undiagnosed attention deficit hyperactivity disorder in London drug and alcohol detoxification units,"Detecting depression among adolescents in Santiago, Chile: sex differences"
128,,PMC3537519,23553751,23216993,10.1002/mus.23784,10.1186/1471-244X-12-223,Heterogeneity of quadriceps muscle phenotype in chronic obstructive pulmonary disease (Copd); implications for stratified medicine?,Rates of undiagnosed attention deficit hyperactivity disorder in London drug and alcohol detoxification units
129,PMC3798121,,23452392,23553751,10.1111/aos.12077,10.1002/mus.23784,Visual and psychological morbidity among patients with autosomal dominant optic atrophy,Heterogeneity of quadriceps muscle phenotype in chronic obstructive pulmonary disease (Copd)
130,PMC3438964,PMC3798121,22810237,23452392,10.1074/jbc.m112.386706,10.1111/aos.12077,Structure and mechanism of human UDP-xylose synthase: evidence for a promoting role of sugar ring distortion in a three-step catalytic conversion of UDP-glucuronic acid.,Visual and psychological morbidity among patients with autosomal dominant optic atrophy
131,PMC3630849,PMC3438964,23436655,22810237,10.1074/jbc.m113.452763,10.1074/jbc.M112.386706,Structure of a Complex Phosphoglycan Epitope from gp72 of Trypanosoma cruzi,Structure and mechanism of human UDP-xylose synthase: evidence for a promoting role of sugar ring distortion in a three-step catalytic conversion of UDP-glucuronic acid.
132,PMC3481300,PMC3630849,22977237,23436655,10.1074/jbc.m112.365932,10.1074/jbc.M113.452763,Structure of the BMP receptor ALK2 and implications for fibrodysplasia ossificans progressiva (Manuscript # M365932,Structure of a Complex Phosphoglycan Epitope from gp72 of Trypanosoma cruzi
133,PMC3696650,PMC3481300,23698002,22977237,10.1074/jbc.m113.464560,10.1074/jbc.M112.365932,T-Cell Receptor specifically maintained by altered thermodyamics,Structure of the BMP receptor ALK2 and implications for fibrodysplasia ossificans progressiva (Manuscript # M365932
134,PMC3567677,PMC3696650,23266827,23698002,10.1074/jbc.m112.427484,10.1074/jbc.M113.464560,Talin 1 has unique expression versus Talin 2 in the heart and modifies the hypertrophic response to pressure overload,T-Cell Receptor specifically maintained by altered thermodyamics
135,PMC3597794,PMC3567677,23341461,23266827,10.1074/jbc.m112.439273,10.1074/jbc.M112.427484,The HsiB1C1 (TssB/TssC) complex of the Pseudomonas aeruginosa type VI secretion system forms a bacteriophage tail sheath-like structure,Talin 1 has unique expression versus Talin 2 in the heart and modifies the hypertrophic response to pressure overload
136,PMC3481303,PMC3597794,22952230,23341461,10.1074/jbc.m112.382077,10.1074/jbc.M112.439273,The sigma-1 receptor binds to the Nav1.5 voltage gated Na+ channel with four-fold symmetry,The HsiB1C1 (TssB/TssC) complex of the Pseudomonas aeruginosa type VI secretion system forms a bacteriophage tail sheath-like structure
137,PMC3630886,PMC3481303,23386609,22952230,10.1074/jbc.m112.438481,10.1074/jbc.M112.382077,The Sec7 Guanine Nucleotide Exchange Factor GBF1 Regulates Membrane Recruitment of BIG1 and BIG2 Guanine Nucleotide Exchange Factors to the Trans-Golgi Network (TGN).,The sigma-1 receptor binds to the Nav1.5 voltage gated Na+ channel with four-fold symmetry
