"University","PMCID","PMID","DOI","Publisher","Journal title","ISSN","Article title","Total cost of Article Processing Charge (APC), in £","Amount of APC charged to Wellcome OA grant, in £ (see comment)","VAT charged","COST (£)","Wellcome grant","Licence info","Notes","Fulltext in EPMC?","XML Fulltext?","AAM?","Open Access?","Licence","Licence Source","Journal Type","Correct Article Confidence","Standard Compliance?","Deluxe Compliance?","Compliance Processing Ouptut",
,"PMC3671369",23750175,"10.1057/9781137377029","
","BioSocieties","1745-8552, 1745-8560","Health Economists, Tobacco Control and International Development: On the Economisation of Global Health beyond Neoliberal Structural Adjustment Policies",,,,,,,,"True","True","False","True","cc-by","epmc_xml","hybrid",1,"True","True","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3671369 to PMC3671369

[2016-05-20T11:39:49Z importer] normalised DOI 10.1057/9781137377029 to 10.1057/9781137377029

[2016-05-20T11:40:01Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:01Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:01Z processor] Fulltext XML specifies licence url as http://creativecommons.org/licenses/by/3.0/ which gives us licence type cc-by

[2016-05-20T11:40:01Z processor] Journal with ISSN 1745-8552,1745-8560 was not found in DOAJ; assuming Hybrid",
,"PMC3724273",23908565,"10.1177/0952695112468526","Sage","History of the Human Sciences","0952-6951, 1461-720X","The pursuit of happiness: the social and scientific origins of Hans Selye’s natural philosophy of life’",,,,,,,,"True","True","False","True","cc-by-nc","epmc_xml","hybrid",1,"False","False","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3724273 to PMC3724273

[2016-05-20T11:39:49Z importer] normalised DOI 10.1177/0952695112468526 to 10.1177/0952695112468526

[2016-05-20T11:40:01Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:01Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:01Z processor] Fulltext XML specifies licence url as http://creativecommons.org/licenses/by-nc/2.0/ which gives us licence type cc-by-nc

[2016-05-20T11:40:01Z processor] Journal with ISSN 0952-6951,1461-720X was not found in DOAJ; assuming Hybrid",
,"PMC3627513",23626409,"10.1177/0952695112470350","Sage","History of the Human Sciences","0952-6951, 1461-720X","War on fear: Solly Zuckerman and civilian nerve in World War II",,,,,,,,"True","True","False","True","cc-by","epmc_xml","hybrid",1,"True","True","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3627513 to PMC3627513

[2016-05-20T11:39:49Z importer] normalised DOI 10.1177/0952695112470350 to 10.1177/0952695112470350

[2016-05-20T11:40:01Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:01Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:01Z processor] Fulltext XML specifies licence url as http://creativecommons.org/licenses/by/2.0/ which gives us licence type cc-by

[2016-05-20T11:40:01Z processor] Journal with ISSN 0952-6951,1461-720X was not found in DOAJ; assuming Hybrid",
,"PMC4255272",23430656,"10.1126/science.1228160","American Association for the Advancement of Science","Science","0036-8075, 1095-9203","High coverage of ART associated with decline in risk of HIV acquisition in rural KwaZulu-Natal, South Africa",,,,,,,,"True","False","unknown","False","unknown",,"hybrid",1,"False","False","[2016-05-20T11:39:49Z importer] PMCID none was syntactically invalid, so ignoring

[2016-05-20T11:39:49Z importer] normalised DOI 10.1126/science.1228160 to 10.1126/science.1228160

[2016-05-20T11:40:01Z processor] Journal with ISSN 0036-8075,1095-9203 was not found in DOAJ; assuming Hybrid

[2016-05-20T11:57:29Z oag] PMC4255272 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:57:54Z oag] 10.1126/science.1228160 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:58:26Z oag] 23430656 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown",
,"PMC3860268",23430655,"10.1126/science.1230413","American Association for the Advancement of Science","Science","0036-8075, 1095-9203","Increase in adult life expectancy",,,,,,,,"True","False","unknown","False","unknown",,"hybrid",1,"False","False","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3860268 to PMC3860268

[2016-05-20T11:39:49Z importer] normalised DOI 10.1126/science.1230413 to 10.1126/science.1230413

[2016-05-20T11:40:02Z processor] Journal with ISSN 0036-8075,1095-9203 was not found in DOAJ; assuming Hybrid

[2016-05-20T11:57:30Z oag] PMC3860268 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:57:54Z oag] 10.1126/science.1230413 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:58:26Z oag] 23430655 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown",
,"PMC3672848",23319734,"10.4049/jimmunol.1201510","American Association of Immunologists","Journal of Immunology","0022-1767, 1550-6606","Mitochondrial superoxide generation enhances P2X7R-mediated loss of cell surface CD62L on naive human CD4+ T lymphocytes.",,,,,,,,"True","False","unknown","False","unknown",,"hybrid",1,"False","False","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3672848 to PMC3672848

[2016-05-20T11:39:49Z importer] normalised DOI 10.4049/jimmunol.1201510 to 10.4049/jimmunol.1201510

[2016-05-20T11:40:02Z processor] Journal with ISSN 0022-1767,1550-6606 was not found in DOAJ; assuming Hybrid

[2016-05-20T11:57:30Z oag] PMC3672848 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:57:54Z oag] 10.4049/jimmunol.1201510 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:58:26Z oag] 23319734 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown",
,"PMC3549224",23264654,"10.4049/jimmunol.1202438","American Association of Immunologists","Journal of Immunology","0022-1767, 1550-6606","Chronic Exposure to Plasmodium falciparum Is Associated with Phenotypic Evidence of B and T Cell Exhaustion",,,,,,,,"True","False","unknown","False","unknown",,"hybrid",1,"False","False","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3549224 to PMC3549224

[2016-05-20T11:39:49Z importer] normalised DOI 10.4049/jimmunol.1202438 to 10.4049/jimmunol.1202438

[2016-05-20T11:40:02Z processor] Journal with ISSN 0022-1767,1550-6606 was not found in DOAJ; assuming Hybrid

[2016-05-20T11:57:29Z oag] PMC3549224 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:57:54Z oag] 10.4049/jimmunol.1202438 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:58:26Z oag] 23264654 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown",
,"PMC3619528",23475217,"10.4049/jimmunol.1202611","American Association of Immunologists","Journal of Immunology","0022-1767, 1550-6606","Candida albicans primes the Toll-like receptor cytokine responses through a dectin-1/Ref-1-mediated pathway",,,,,,,,"True","False","unknown","False","unknown",,"hybrid",1,"False","False","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3619528 to PMC3619528

[2016-05-20T11:39:49Z importer] normalised DOI 10.4049/jimmunol.1202611 to 10.4049/jimmunol.1202611

[2016-05-20T11:40:03Z processor] Journal with ISSN 0022-1767,1550-6606 was not found in DOAJ; assuming Hybrid

[2016-05-20T11:57:29Z oag] PMC3619528 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:57:54Z oag] 10.4049/jimmunol.1202611 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:58:26Z oag] 23475217 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown",
,"PMC3607403",23460737,"10.4049/jimmunol.1203389","American Association of Immunologists","Journal of Immunology","0022-1767, 1550-6606","GRB2-Mediated Recruitment of THEMIS to LAT Is Essential for Thymocyte Development",,,,,,,,"True","False","unknown","False","unknown",,"hybrid",1,"False","False","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3607403 to PMC3607403

[2016-05-20T11:39:49Z importer] normalised DOI 10.4049/jimmunol.1203389 to 10.4049/jimmunol.1203389

[2016-05-20T11:40:03Z processor] Journal with ISSN 0022-1767,1550-6606 was not found in DOAJ; assuming Hybrid

[2016-05-20T11:57:30Z oag] PMC3607403 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:57:54Z oag] 10.4049/jimmunol.1203389 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:58:26Z oag] 23460737 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown",
,"PMC3627511",23626408,"10.1177/0952695112471658","Sage","History of the Human Sciences","0952-6951, 1461-720X","The invention of the psychosocial: an introduction",,,,,,,,"True","True","False","True","cc-by","epmc_xml","hybrid",1,"True","True","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3627511 to PMC3627511

[2016-05-20T11:39:49Z importer] normalised DOI 10.1177/0952695112471658 to 10.1177/0952695112471658

[2016-05-20T11:40:03Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:03Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:03Z processor] Fulltext XML specifies licence url as http://creativecommons.org/licenses/by/2.0/ which gives us licence type cc-by

[2016-05-20T11:40:03Z processor] Journal with ISSN 0952-6951,1461-720X was not found in DOAJ; assuming Hybrid",
